PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000073700 uM,Activity at 0.0000311978 uM,Activity at 0.0000755538 uM,Activity at 0.0001700784 uM,Activity at 0.0003537877 uM,Activity at 0.0007609388 uM,Activity at 0.00133 uM,Activity at 0.00267 uM,Activity at 0.00634 uM,Activity at 0.00855 uM,Activity at 0.017 uM,Activity at 0.041 uM,Activity at 0.071 uM,Activity at 0.179 uM,Activity at 0.354 uM,Activity at 0.663 uM,Activity at 1.576 uM,Activity at 1.933 uM,Activity at 5.110 uM,Activity at 9.286 uM,Activity at 17.35 uM,Activity at 44.46 uM,Activity at 93.38 uM,Activity at 162.7 uM,Compound QC
4429,174006465,11754511,Active,86,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346687-01/220900875,,Inhibitor,1.3207,96.5154,,86,Complete curve; high efficacy,-5.8792,3.132,0.9965,-93.8968,2.6186,-1.1,0 1 0 0 0 0 0 0 0 0 0,-96.6016,,,,,,0,,-35.3258,0,,3.0276,,0,8.1411,,-2.6035,-61.7644,,-91.9621,,-94.0166,-96.6016,,,QC'd by Selleck
4430,174006466,56953649,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345856-01/220900816,,Inactive,,,,0,,-4.4292,4.9549,0.6105,-15.7587,3,4,0 0 0 0 0 0 0 0 0 0 0,-11.4656,,,,,,-0.8401,,1.6964,2.2506,,7.8673,,4.531,-2.4884,,7.1847,-0.3426,,6.7309,,5.6662,-11.4656,,,QC'd by SynKinase
4431,174006467,10427712,Active,82,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346508-01/223518857,,Inhibitor,10.4904,95.2061,,82,Complete curve; high efficacy,-4.9792,4.9549,0.9918,-92.1822,3.0239,-1.1,0 0 0 0 0 0 0 0 0 0 0,-93.1133,,,,,,0,,0,7.3625,,0,,0,7.1944,,7.6842,0.8881,,2.8177,,-78.582,-93.1133,,,QC'd by Selleck
4432,174006468,24788740,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346714-01/220900838,,Inhibitor,13.2066,31.5545,,21,Partial curve; partial efficacy,-4.8792,3.9295,0.9458,-30.0545,1.5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-30.4621,,,,,,4.104,,0,0,,0,,0,0,,0,8.1489,,2.1814,,-18.2408,-30.4621,,,QC'd by Selleck
4433,174006469,71317162,Active,90,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346509-01/220900872,,Inhibitor,0.1482,85.028,,90,Complete curve; high efficacy,-6.8292,1.4487,0.9685,-82.1424,2.8855,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.5028,,,,,,0,,0,0,,3.6419,,-12.4036,-54.7886,,-61.7272,-73.6144,,-73.8524,,-90.4033,-92.5028,,,QC'd by Selleck
4434,174006470,3038525,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00241111-02/220900856,,Inactive,,,,0,,,,,0,0,4,,-0.3386,,,,,,2.3473,,9.2631,0,,0,,7.0613,0,,0,0,,8.2689,,7.1566,-0.3386,,,QC'd by Selleck
4435,174006471,49766501,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346947-01/220900845,,Inactive,,,,0,,-8.7792,1.9887,0.6021,2.5,-17.6396,4,0 0 0 0 0 0 0 0 0 0 0,-0.4704,,,,,,-14.283,,-3.9116,-0.1235,,9.6573,,-3.0812,0,,6.9398,9.5178,,0,,0,-0.4704,,,QC'd by Chemscene
4436,174006472,73265228,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346481-01/220900862,,Inhibitor,18.6548,42.8449,,10,Partial curve; partial efficacy; poor fit,-4.7292,0.9,0.8487,-37.8449,5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.8708,,,,,,5.1649,,8.6038,6.756,,0,,8.8492,1.9208,,6.2377,-6.9119,,-4.1577,,-8.3493,-29.8708,,,QC'd by Selleck
4437,174006473,16097523,Active,62,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00250381-02/220900769,,Inhibitor,10.4904,71.945,,62,Complete curve; partial efficacy,-4.9792,4.5045,0.9931,-68.7478,3.1973,-1.2,0 0 0 0 0 0 0 0 0 0 0,-69.077,,,,,,0.2077,,2.2667,4.1602,,3.812,,0,6.9776,,5.8485,0.5543,,0,,-57.6174,-69.077,,,QC'd by Axon Medchem
4438,174006474,46180666,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345837-01/220900780,,Inhibitor,2.3485,65.6021,,24,Complete curve; partial efficacy,-5.6292,2.4064,0.988,-63.433,2.1691,-1.2,0 0 0 0 0 0 0 0 0 0 0,-60.2602,,,,,,3.5326,,0.5507,0,,4.6833,,0,0,,7.1393,-20.2894,,-53.7357,,-66.1693,-60.2602,,,QC'd by SynKinase
4439,174006475,9968854,Active,83,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00274038-01/220900768,,Inhibitor,7.4266,82.3262,,83,Complete curve; high efficacy,-5.1292,4.9549,0.9478,-86.1134,-3.7873,-1.1,0 0 0 0 0 0 0 0 0 0 0,-79.3442,,,,,,0,,1.1094,0,,6.4571,,0,-18.9531,,-10.1468,-9.9386,,-13.0596,,-91.4155,-79.3442,,,QC'd by Toronto Research
4440,174006476,10240275,Active,85,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345840-01/220900793,,Inhibitor,2.9566,97.1233,,85,Complete curve; high efficacy,-5.5292,4.9549,0.9883,-97.6389,-0.5156,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.864,,,,,,-9.2674,,3.5559,-5.3318,,-3.3306,,-3.0589,6.2566,,0,0,,-94.3767,,-95.9596,-96.864,,,QC'd by SynKinase
4441,174006477,73265229,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00345783-01/223519249,,Inhibitor,29.0929,54.3567,,10,Single point of activity,-4.5362,4.9549,0.8684,-56.8122,-2.4555,-3,0 0 0 0 0 0 0,-51.5896,,,,,,,,-4.261,,,2.9655,,0.1047,,-17.7743,,,0,,2.8963,,-51.5896,,,QC'd by Cayman
4442,174006478,9829523,Active,84,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00241102-02/220902660,,Inhibitor,3.3173,87.8551,,84,Complete curve; high efficacy,-5.4792,1.9282,0.9806,-86.6923,1.1629,-1.1,0 0 0 0 0 0 0 0 0 0 0,-84.1817,,,,,,-10.9166,,0,2.3175,,7.3672,,5.91,0,,2.3636,-19.9763,,-57.4762,,-86.0043,-84.1817,,,QC'd by Tocris
4443,174006479,11373846,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346096-02/220902613,,Inactive,,,,0,,-5.7792,3.9295,0.641,-3.0311,4.5,4,0 0 0 0 0 0 0 0 0 0 1,1.778,,,,,,1.1634,,5.9337,4.3656,,3.956,,6.4199,4.0342,,4.7635,0.3486,,-7.1092,,0.9857,1.778,,,QC'd by Selleck
4444,174006480,11467730,Active,42,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00229512-04/220902568,,Inhibitor,11.7704,94.7595,,42,Partial curve; high efficacy,-4.9292,3.5117,0.9957,-92.2101,2.5494,-2.1,0 0 0 0 0 0 0 0 0 0 0,-93.1415,,,,,,0,,0,0,,1.7277,,3.7611,5.8714,,3.4439,1.9402,,0,,-63.2201,-93.1415,,,QC'd by Chemscene
4445,174006481,135398495,Active,84,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346493-01/220902576,,Inhibitor,5.8992,97.422,,84,Complete curve; high efficacy,-5.2292,1.4163,0.9624,-97.5611,-0.1392,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.3344,,,,,,-1.5439,,3.8329,6.0572,,2.4873,,-7.8102,-1.618,,0,-26.5277,,-33.3197,,-86.187,-90.3344,,,QC'd by Selleck
4446,174006482,16666708,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346567-01/220902574,,Inactive,,,,0,,-6.9292,4.9549,0.3515,-2,-9.2301,4,0 0 0 0 0 0 0 0 0 0 1,-2.9353,,,,,,-10.7064,,-1.9222,-2.9467,,-17.2751,,-13.698,-0.7429,,-2.5476,-7.9826,,3.2031,,-1.1026,-2.9353,,,QC'd by Selleck
4447,174006483,11442891,Active,88,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00263203-02/223519473,,Inhibitor,1.2995,113.1656,,88,Complete curve; high efficacy,-5.8862,0.7,0.9895,-109.0579,4.1076,-1.1,0 0 0 0 0 0 0,-102.6911,,,,,,,,0,,,-0.5157,,-2.3541,,-35.2354,,,-59.3635,,-82.3224,,-102.6911,,,QC'd by SynKinase
4448,174006484,73265230,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00347303-01/220902624,,Inhibitor,26.3506,51.2688,,10,Single point of activity,-4.5792,4.095,0.84,-52.7449,-1.4762,-3,0 0 0 0 0 0 0 0 0 0 0,-47.9128,,,,,,0.0736,,3.3838,-6.3578,,2.8359,,-1.0209,4.3483,,6.849,-7.3536,,-14.4036,,-7.7456,-47.9128,,,QC'd by NCI
4449,174006485,24906275,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00092290-03/220902621,,Inactive,,,,0,,-4.4292,4.9549,0.8683,-12.7986,1,4,0 0 0 0 0 0 0 0 0 0 0,-9.4155,,,,,,0,,0,1.4849,,0,,3.3961,0,,2.6024,0,,0,,1.1402,-9.4155,,,QC'd by Selleck
4450,174006486,25154041,Active,41,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346676-01/220902651,,Inhibitor,18.6548,128.8053,,41,Partial curve; high efficacy,-4.7292,0.6,0.9095,-125.2488,3.5565,-2.1,0 0 0 0 0 0 0 0 0 0 0,-94.8855,,,,,,0,,5.4244,6.7279,,0.5798,,0,0,,-15.9037,-25.5722,,-40.7488,,-36.1582,-94.8855,,,QC'd by Selleck
4451,174006487,73265231,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346836-01/220900813,,Inhibitor,37.2212,53.5597,,10,Single point of activity,-4.4292,4.9549,0.8752,-54.6221,-1.0624,-3,0 0 0 0 0 0 0 0 0 0 0,-41.2998,,,,,,-4.2006,,-5.0249,-6.9463,,-4.6745,,0,0,,9.3241,4.0241,,-1.514,,-0.5711,-41.2998,,,QC'd by SIGMA
4452,174006488,6852167,Active,42,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346536-01/220900808,,Inhibitor,9.3495,95.4911,,42,Partial curve; high efficacy,-5.0292,1.4787,0.9865,-92.0562,3.4349,-2.1,0 0 0 0 0 0 0 0 0 0 0,-83.8399,,,,,,0,,2.4439,7.2931,,7.462,,0,2.7868,,0,2.9818,,-29.2359,,-59.9113,-83.8399,,,QC'd by Selleck
4453,174006489,9858940,Active,83,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00165889-02/223519136,,Inhibitor,7.4266,80.9887,,83,Complete curve; high efficacy,-5.1292,4.5045,0.9822,-81.4883,-0.4997,-1.1,0 0 0 0 0 0 0 0 0 0 0,-81.2403,,,,,,0,,0.6122,0,,0,,0,8.7563,,-6.5749,-8.2395,,-13.8657,,-79.0006,-81.2403,,,QC'd by Selleck
4454,174006490,10172943,Active,91,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00347278-01/220900836,,Inhibitor,0.1321,98.23,,91,Complete curve; high efficacy,-6.8792,3.9295,0.9984,-95.658,2.572,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.3186,,,,,,0,,1.6658,0,,5.071,,0,-74.4027,,-94.0541,-96.4281,,-95.5008,,-97.8098,-95.3186,,,QC'd by Adooq
4455,174006491,49784945,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346650-01/220900783,,Inhibitor,14.818,77.1788,,21,Partial curve; partial efficacy,-4.8292,0.8,0.9771,-75.868,1.3108,-2.2,0 0 0 0 0 0 0 0 0 0 0,-57.4757,,,,,,0,,4.416,4.1609,,0,,0,0,,-7.4599,-14.1081,,-17.4388,,-35.7871,-57.4757,,,QC'd by Selleck
4456,174006492,56949517,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345796-01/220900797,,Inactive,,,,0,,-8.9792,4.9549,0.7002,3,-13.9123,4,0 0 0 0 0 0 0 0 0 0 0,0,,,,,,-10.7603,,3.2503,3.5444,,4.1811,,0.5825,6.9285,,7.5842,2.1562,,0,,0,0,,,QC'd by ChemieTek
4457,174006493,11655119,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00242598-03/220900844,,Inactive,,,,0,,,,,0,0,4,,6.4335,,,,,,6.6521,,0,0,,0,,0,2.1759,,0,7.8616,,7.4573,,-1.6536,6.4335,,,QC'd by Selleck
4458,174006494,56965896,Active,95,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346500-01/220900798,,Inhibitor,0.0209,100.618,,95,Complete curve; high efficacy,-7.6792,2.4064,0.9978,-92.5476,8.0704,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.9633,,,,,,5.805,,7.9607,2.6703,,-41.9248,,-90.394,-92.0918,,-91.8774,-88.6825,,-92.9193,,-91.9591,-91.9633,,,QC'd by Selleck
4459,174006495,24906273,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00186030-03/220900758,,Inactive,,,,0,,,,,0,0,4,,-0.8738,,,,,0,,-4.3694,0,,1.6249,,-9.683,2.8228,,-1.8119,-1.9772,,0.443,,-3.8761,-0.8738,,,,QC'd by Selleck
4460,174006496,135565596,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346457-01/220900827,,Inhibitor,1.6203,67.4283,,24,Complete curve; partial efficacy,-5.7904,1,0.9825,-66.9216,0.5066,-1.2,0 0 0 0 0 0 0 0 0 0 0,-62.4347,,,,,2.2775,,0,-3.9112,,0,,0,2.4988,,-15.6084,-19.4683,,-41.7604,,-54.7979,-62.4347,,,,QC'd by Chemscene
4461,174006497,73265232,Active,62,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346717-01/220900824,,Inhibitor,8.3328,87.3643,,62,Complete curve; partial efficacy,-5.0792,1.8851,0.9842,-84.1021,3.2622,-1.2,0 0 0 0 0 0 0 0 0 0 0,-77.7289,,,,,,4.6776,,3.6698,6.1356,,3.9872,,-4.6549,7.0275,,0.1709,4.4175,,-24.8755,,-64.9734,-77.7289,,,QC'd by Selleck
4462,174006498,57519555,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00253909-01/220900778,,Inhibitor,29.5659,85.7007,,10,Single point of activity,-4.5292,4.5045,0.9763,-81.2036,4.4971,-3,0 0 0 0 0 0 0 0 0 0 0,-70.9876,,,,,,0,,6.5961,3.8044,,8.6664,,0,2.8541,,0,8.7041,,9.0708,,0,-70.9876,,,QC'd by NCGCChem
4463,174006499,57519554,Active,68,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00263109-02/220900822,,Inhibitor,0.1482,73.7563,,68,Complete curve; partial efficacy,-6.8292,1.111,0.9942,-68.6545,5.1018,-1.2,0 0 0 0 0 0 0 0 0 0 0,-68.6616,,,,,,0.7071,,9.3027,0,,0,,-17.0556,-36.7698,,-54.2384,-65.5883,,-66.8809,,-67.5529,-68.6616,,,QC'd by Axon Medchem
4464,174006500,25207689,Active,69,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345851-01/220900800,,Inhibitor,0.0833,73.1643,,69,Complete curve; partial efficacy,-7.0792,1.3723,0.9897,-69.1389,4.0254,-1.2,0 0 0 0 0 0 0 0 0 0 0,-73.2768,,,,,,6.4694,,1.0187,0,,-1.3653,,-28.4507,-54.2845,,-57.9832,-66.0136,,-68.0409,,-70.4952,-73.2768,,,QC'd by SynKinase
4465,174006501,449054,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00242054-03/220900799,,Inactive,,,,0,,-4.8792,4.9549,0.7999,-11.0325,0.5,4,0 0 0 0 0 0 0 0 0 0 0,-11.277,,,,,,0,,0,1.4504,,2.6401,,-4.0009,0,,2.0459,0,,3.8881,,-6.9682,-11.277,,,QC'd by Tocris
4466,174006502,11524144,Active,84,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00165869-03/220900828,,Inhibitor,3.7221,88.6012,,84,Complete curve; high efficacy,-5.4292,4.9549,0.9501,-94.7184,-6.1172,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.8491,,,,,,-13.5685,,-9.2346,-8.57,,-6.1989,,-24.3681,5.1038,,1.8506,4.1992,,-84.8753,,-89.0638,-96.8491,,,QC'd by Tocris
4467,174006503,10202642,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346679-01/220900750,,Inactive,,,,0,,-4.6292,4.5045,0.6179,-6.6788,1,4,0 0 0 0 0 0 0 0 0 0 0,-6.399,,,,,,0,,0,0,,0,,0,3.5865,,0,5.1459,,0,,0,-6.399,,,QC'd by Selleck
4468,174006504,11978790,Active,76,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346681-01/220900814,,Inhibitor,0.0166,64.0863,,76,Complete curve; partial efficacy,-7.7792,0.7,0.9936,-95.9211,-31.8348,-1.2,0 0 0 0 0 0 0 0 0 0 0,-95.7297,,,,,,-38.4602,,-46.4056,-55.259,,-63.386,,-75.9052,-89.5364,,-91.8505,-94.1937,,-94.5208,,-95.0472,-95.7297,,,QC'd by Selleck
4469,174006505,1893730,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346492-01/220900826,,Inactive,,,,0,,,,,0,0,4,,0,,,,,0,,0,0,,7.8275,,0,0,,0,8.828,,-32.3035,,0.0921,0,,,,QC'd by Selleck
4470,174006506,73265234,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00167518-03/220900785,,Inhibitor,16.6261,33.3985,,10,Partial curve; partial efficacy; poor fit,-4.7792,3.0654,0.9014,-28.8985,4.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.082,,,,,,0,,9.8313,0,,0.4724,,9.497,4.9907,,5.7593,2.9988,,3.2208,,-9.1653,-29.082,,,QC'd by Selleck
4471,174006507,9956222,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346683-01/220900790,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,9.1887,7.2931,,0,,0,1.2833,,8.064,0,,-5.8165,,9.2366,0,,,QC'd by Selleck
4472,174006508,44240850,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346547-01/220900749,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,0,2.9407,,0.7426,,0,0,,0,0,,0,,3.9193,0,,,QC'd by Selleck
4473,174006509,11647372,Inconclusive,25,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346484-01/220900784,,Inhibitor,0.1049,42.2727,,25,Complete curve; partial efficacy,-6.9792,4.9549,0.8172,-38.8536,3.4191,-1.2,0 0 0 0 0 0 0 0 0 0 0,-53.9923,,,,,,2.8926,,7.6249,0,,0,,3.8077,-40.449,,-22.8179,-22.2143,,-53.1087,,-38.0111,-53.9923,,,QC'd by Selleck
4474,174006510,25229526,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346634-01/220900865,,Inhibitor,1.6626,67.6771,,24,Complete curve; partial efficacy,-5.7792,1.6924,0.9704,-65.6842,1.9929,-1.2,0 0 0 0 0 0 0 0 0 0 0,-60.1533,,,,,,0.0087,,3.6363,4.0788,,-5.0835,,0,6.512,,-6.5013,-34.3998,,-51.0988,,-73.6294,-60.1533,,,QC'd by Selleck
4475,174006511,53245636,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346579-01/220900764,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,0,3.5631,,0,,5.461,0,,3.0648,0,,0,,0,0,,,QC'd by Selleck
4476,174006512,10271028,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345822-01/220900835,,Inactive,,,,0,,,,,0,0,4,,8.9972,,,,,,-0.8221,,4.681,-1.9818,,2.5495,,5.4351,1.0275,,7.3554,-5.5045,,7.5259,,2.9451,8.9972,,,QC'd by SynKinase
4477,174006513,107935,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00025288-03/223518954,,Inhibitor,0.0132,30.5899,,10,Complete curve; partial efficacy; poor fit,-7.8792,4.9549,0.9459,-29.5899,1,-1.4,0 0 0 0 0 0 0 0 0 0 0,-28.9181,,,,,,-4.7965,,4.4228,2.4359,,-27.329,,-28.6562,-31.4127,,-28.3923,-34.9895,,-28.2131,,-25.0463,-28.9181,,,QC'd by Microsource
4478,174006514,,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p5-KB-3-1-kinase/NCGC00346503-01/223519132,,Inhibitor,14.1508,102.1832,,10,Single point of activity,-4.8492,4.9549,0.9922,-101.4425,0.7408,-3,0 0 0 0 0 0 0,-92.896,,,,,,,0.0542,,,4.6964,,0,,-5.0161,,2.7047,,,2.7081,,-92.896,,,,QC'd by Selleck
4479,174006515,16038120,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00238453-01/220900811,,Inhibitor,0.8333,86.3417,,10,Complete curve; high efficacy; poor fit,-6.0792,2.4064,0.8134,-93.487,-7.1453,-1.3,1 0 0 0 0 0 0 0 0 0 0,-91.8384,,,,,,-52.3724,,-59.3099,9.8793,,5.9264,,4.6376,0,,-28.4095,-89.126,,-89.1726,,-92.1963,-91.8384,,,QC'd by Selleck
4480,174006516,135398501,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00165727-02/220900772,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,5.2195,,3.1021,5.7611,,8.4522,,8.5863,0,,0,0,,2.1295,,2.5774,0,,,QC'd by Chemscene
4481,174006517,45375953,Active,95,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346654-01/220900852,,Inhibitor,0.0074,87.408,,95,Complete curve; high efficacy,-8.1292,0.4,0.929,-80.9717,6.4363,-1.1,0 0 0 0 0 0 0 0 0 0 0,-88.7848,,,,,,-10.8024,,-28.4908,-39.9674,,-52.4276,,-55.2517,-62.7886,,-63.5424,-65.8956,,-66.6173,,-79.8553,-88.7848,,,QC'd by Selleck
4482,174006518,49867926,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346541-01/220900781,,Inactive,,,,0,,,,,0,0,4,,0,,,,,,0,,4.1501,0,,0,,7.525,0,,8.0355,0,,2.7028,,6.7221,0,,,QC'd by Selleck
4483,174006519,25242324,Active,67,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345838-01/220900861,,Inhibitor,0.3722,72.4964,,67,Complete curve; partial efficacy,-6.4292,1.5579,0.9931,-69.3679,3.1285,-1.2,0 0 0 0 0 0 0 0 0 0 0,-67.6656,,,,,,1.7809,,0,7.3708,,0,,3.4533,-18.9661,,-43.3993,-64.1798,,-70.0596,,-68.7677,-67.6656,,,QC'd by SynKinase
4484,174006520,40712533,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00092314-04/220900755,,Inhibitor,5.2576,30.5818,,10,Partial curve; partial efficacy; poor fit,-5.2792,0.9,0.9301,-28.5818,2,-2.4,0 0 0 0 0 0 0 0 0 0 0,-25.9015,,,,,,9.1894,,0,0,,0,,0,0,,0,-5.8084,,-14.718,,-18.4637,-25.9015,,,QC'd by Tocris
4485,174006521,17751819,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346621-01/220900794,,Inhibitor,26.3506,36.3426,,10,Partial curve; partial efficacy; poor fit,-4.5792,4.5045,0.9001,-31.8426,4.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-29.0355,,,,,,8.5508,,3.9982,7.323,,0,,0.6059,6.5486,,6.1091,0,,9.6651,,1.3126,-29.0355,,,QC'd by Selleck
4486,174006522,24905149,Inactive,0,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346614-01/220900874,,Inactive,,,,0,,,,,0,0,4,,4.2634,,,,,,7.0228,,0,0,,0,,0,0,,0,0,,0,,0,4.2634,,,QC'd by Selleck
4487,174006523,68712644,Active,83,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00346936-01/220900771,,Inhibitor,9.3495,100.1456,,83,Complete curve; high efficacy,-5.0292,4.9549,0.9809,-98.0548,2.0907,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.0144,,,,,,-6.6952,,-1.7708,9.5209,,0,,5.5685,-5.1544,,8.171,5.7952,,0,,-93.0126,-95.0144,,,QC'd by SynKinase
4488,174006524,9819282,Active,86,http://assay.nih.gov/htsws/rest/display/mdr-p4-KB-3-1-mipe-npact/NCGC00345823-01/220900752,,Inhibitor,1.8655,99.8862,,86,Complete curve; high efficacy,-5.7292,0.8,0.9595,-96.7697,3.1166,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.3174,,,,,,-0.4371,,9.5676,-3.125,,-5.2303,,6.6757,-14.2537,,-16.6486,-58.0663,,-61.1265,,-75.0432,-94.3174,,,QC'd by SynKinase
