PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000457000 uM,Activity at 0.0001972026 uM,Activity at 0.0003839484 uM,Activity at 0.0008898812 uM,Activity at 0.00155 uM,Activity at 0.00213 uM,Activity at 0.00547 uM,Activity at 0.00919 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.052 uM,Activity at 0.092 uM,Activity at 0.191 uM,Activity at 0.436 uM,Activity at 0.684 uM,Activity at 1.305 uM,Activity at 2.310 uM,Activity at 4.906 uM,Activity at 10.69 uM,Activity at 15.09 uM,Activity at 33.08 uM,Activity at 57.10 uM,Activity at 112.0 uM,Activity at 226.8 uM,Activity at 254.9 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
2653,363678216,1427626,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378816-01/222281325,,Inactive,,,0,,-4.4,4.9549,0.8362,28.5,3,4,0 0 0 0 0 0,24.9147,,,,,,,,,8.3772,,,7.5744,,0,,,0,,0,,,24.9147,,,,QC'd by Tocris
2654,363678217,11560787,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378817-01/222283141,,Inactive,,,0,,,,,0,0,4,,15.3535,,,,,,,,,19.3373,,,18.4504,,,,,22.9095,,21.2625,,,15.3535,,,,QC'd by MedChem Express
2655,363678218,53348188,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378818-01/222280607,,Activator,12.5893,199.3115,0,Partial curve; high efficacy,-4.9,2.4064,0.9966,205.3148,6.0034,2.1,0 0 0 0 0 0,200.1119,,,,,,,,,14.1587,,,5.2527,,0,,,7.1705,,93.227,,,200.1119,,,,QC'd by Tocris
2656,363678219,5310960,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378820-01/222281400,,Activator,5.6234,21,0,Complete curve; partial efficacy; poor fit,-5.25,4.9549,0.9463,22.5,1.5,1.4,0 0 0 0 0 0,21.5716,,,,,,,,,0,,,0,,6.275,,,0,,23.018,,,21.5716,,,,QC'd by Tocris
2657,363678220,9938280,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378821-01/222281552,,Inactive,,,0,,-6.05,4.9549,0.9931,9.5,0,4,0 0 0 0 0 1,0,,,,,,,,,0,,,0,,0,,,10.1316,,9.1161,,,0,,,,QC'd by MedChem Express
2658,363678221,9851775,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378822-01/222279516,,Inactive,,,0,,,,,0,0,4,,0,,0,,0,,,-1.4914,,,0,,0,,,0,,,,,,,,,,,QC'd by MedChem Express
2659,363678223,53438230,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378825-01/222281431,,Inactive,,,0,,-4.4,4.9549,0.7039,-27.0278,6,4,0 0 0 0 0 0,-22.5232,,,,,,,,,0,,,0,,13.6367,,,0,,16.9282,,,-22.5232,,,,QC'd by MedChem Express
2660,363678224,11319053,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378827-01/222280591,,Inactive,,,0,,-4.55,2.9523,0.3997,-8.957,9.5,4,1 0 0 0 0 0,-7.0475,,,,,,,,,24.8593,,,0,,24.1667,,,4.9054,,8.2959,,,-7.0475,,,,QC'd by MedChem Express
2661,363678226,135886459,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378834-01/222283308,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,0,,,0,,,,,0,,0,,,0,,,,QC'd by MedChem Express
2662,363678227,10008367,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378837-01/222280484,,Inactive,,,0,,,,,0,0,4,,-9.1886,,,,,,,,,-7.4728,,,-0.6296,,-4.7702,,,-3.747,,0,,,-9.1886,,,,QC'd by MedChem Express
2663,363678228,16126898,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378838-02/222280922,,Activator,39.8107,29,0,Partial curve; partial efficacy; poor fit,-4.4,4.9549,0.9977,29,0,2.4,0 0 0 0 0 0,24.8243,,,,,,,,,0,,,0,,1.0669,,,0,,0,,,24.8243,,,,QC'd by MedChem Express
2664,363678229,11973736,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378840-01/222283429,,Activator,10,112.2378,0,Partial curve; high efficacy,-5,1.222,0.981,112.9194,0.6817,2.1,0 0 0 0 0,89.6186,,,,,,,,1.3398,,,-4.6699,,,,,15.7095,,33.9387,,,89.6186,,,,,QC'd by MedChem Express
2665,363678230,21071390,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378842-04/222281514,,Activator,6.3096,30.5,0,Single point of activity,-5.2,4.095,0.8173,34.5,4,3,0 0 0 0 0 1,0,,,,,,,,,10.3034,,,0,,11.4629,,,4.4243,,32.1227,,,0,,,,QC'd by MedChem Express
2666,363678231,71345,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378843-02/222284461,,Inactive,,,0,,-5.6,2.4064,0.5332,5,-10.3633,4,0 0 0 0 1,-14.1792,,,,,,,,,-2.1566,,,-18.6361,,,,,-3.7549,,4.7273,,,-14.1792,,,,QC'd by Adooq
2667,363678232,16202164,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378846-01/222281445,,Inactive,,,0,,-4.4,4.9549,0.5907,-23.095,11.2831,4,0 0 0 0 0 0,-18.3338,,,,,,,,,0,,,11.6566,,0,,,23.5537,,21.2852,,,-18.3338,,,,QC'd by MedChem Express
2668,363678233,71254032,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378847-01/222281547,,Activator,28.1838,864.337,0,Partial curve; high efficacy,-4.55,2.3531,0.9998,867.9902,3.6532,2.1,0 0 0 0 0 0,730.6315,,,,,,,,,0,,,0,,1.2488,,,14.0397,,98.1369,,,730.6315,,,,QC'd by MedChem Express
2669,363678234,25025505,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378849-03/222281600,,Activator,3.1623,35.3918,0,Single point of activity,-5.5,4.5045,0.9999,35.3918,0,3,0 0 0 0 0 1,0,,,,,,,,,0,,,0,,0,,,6.4901,,35.4353,,,0,,,,QC'd by Glixx
2670,363678237,9828911,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378854-01/222280619,,Inactive,,,0,,-6.9,4.9549,0.6975,17.5,-2.5,4,1 0 0 0 0 0,12.6853,,,,,,,,,29.4766,,,1.0585,,19.7998,,,12.8908,,24.0172,,,12.6853,,,,QC'd by MedChem Express
2671,363678238,25144732,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378855-02/222283482,,Activator,35.4813,46.2667,0,Single point of activity,-4.45,3.9295,0.9992,45.739,-0.5276,3,0 0 0 0 0,39.45,,,,,,,,,0,,,0,,,,,-1.2174,,0,,,39.45,,,,QC'd by MedChem Express
2672,363678239,10117987,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378857-02/222281531,,Inactive,,,0,,-6.4,3.5117,0.7359,18.9836,-10.0902,4,0 0 0 0 0 1,0,,,,,,,,,2.1027,,,-22.0082,,6.9987,,,21.2703,,17.077,,,0,,,,QC'd by APExBIO
2673,363678240,42636350,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378858-01/222281347,,Inactive,,,0,,-5.3,4.9549,0.497,-0.5,-9.9964,4,0 0 0 0 0 0,-1.5361,,,,,,,,,-13.3422,,,-1.183,,-14.997,,,-10.5574,,0,,,-1.5361,,,,QC'd by MedChem Express
2674,363678241,11546620,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378859-02/222281039,,Inactive,,,0,,-4.4,4.9549,0.9785,18.5,0.5,4,1 0 0 0 0 0,15.9852,,,,,,,,,30.284,,,0,,2.3423,,,0,,0,,,15.9852,,,,QC'd by Axon Medchem
2675,363678242,24857689,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378862-01/222283671,,Activator,22.3872,114.511,0,Partial curve; high efficacy,-4.65,2.3332,0.9993,122.3997,7.8887,2.1,0 0 0 0 0,110.8693,,,,,,,,,8.6366,,,5.6869,,,,,8.9701,,27.9298,,,110.8693,,,,QC'd by MedChem Express
2676,363678243,9924495,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378863-02/222281006,,Inactive,,,0,,-6.15,4.9549,0.3722,-11.1291,0.5,4,0 0 0 0 0 1,-1.701,,,,,,,,,0,,,0,,0,,,-22.1909,,0,,,-1.701,,,,QC'd by Glixx
2677,363678244,59239114,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378864-01/222283656,,Inactive,,,0,,-4.35,4.9549,0.5509,-20.1833,-8.1265,4,0 0 0 0 0,-17.6528,,,,,,,,,-8.154,,,-14.5513,,,,,-7.0283,,-5.1054,,,-17.6528,,,,QC'd by MedChem Express
2678,363678245,71576693,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378865-01/222283254,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,0,,,-2.6548,,,,,0,,-0.2758,,,0,,,,QC'd by MedChem Express
2679,363678246,67475270,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378866-01/222281026,,Activator,39.8107,39.2104,0,Single point of activity,-4.4,4.4495,0.9388,40.7104,1.5,3,0 0 0 0 0 0,34.0734,,,,,,,,,0,,,0,,8.3971,,,0,,0,,,34.0734,,,,QC'd by MedChem Express
2680,363678247,644100,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378867-01/222284369,,Inactive,,,0,,-4.4,4.9549,0.5625,-3.5,21.5,4,0 0 0 0 0,0,,,,,,,,,22.9313,,,7.2754,,,,,27.9721,,27.9732,,,0,,,,QC'd by MedChem Express
2681,363678248,78357934,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378870-01/222281276,,Inactive,,,0,,-6.15,1.0693,0.7107,4,23.5,4,0 0 0 0 0 0,0,,,,,,,,,22.9788,,,24.2333,,9.4895,,,14.651,,8.98,,,0,,,,QC'd by MedChem Express
2682,363678249,46196517,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378871-01/222281638,,Activator,17.7828,143.7624,0,Partial curve; high efficacy,-4.75,1.9673,0.992,152.269,8.5066,2.1,1 0 0 0 0 0,141.7775,,,,,,,,,24.7633,,,0,,13.2364,,,13.3468,,51.6896,,,141.7775,,,,QC'd by MedChem Express
2683,363678250,9930049,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378872-01/222280790,,Inactive,,,0,,-4.4,4.9549,0.9257,-3.5,19.5,4,0 0 0 0 0 0,0,,,,,,,,,22.3954,,,16.5647,,17.5304,,,21.0915,,21.0701,,,0,,,,QC'd by MedChem Express
2684,363678251,66577032,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378875-01/222283162,,Activator,25.1189,127.468,0,Partial curve; high efficacy,-4.6,2.0937,0.9972,120.994,-6.474,2.1,0 0 0 0 0,101.335,,,,,,,,,-10.0354,,,-6.5557,,,,,-2.3915,,15.2133,,,101.335,,,,QC'd by MedChem Express
2685,363678252,25031915,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378878-02/222283987,,Inactive,,,0,,-4.4,4.9549,0.678,-3.5,21,4,0 0 0 0 0,0,,,,,,,,,26.367,,,13.7176,,,,,15.1227,,27.8368,,,0,,,,QC'd by Axon Medchem
2686,363678253,4988454,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378879-01/222281045,,Inactive,,,0,,-6.15,4.9549,0.4555,-12.8999,0.5,4,0 0 0 0 0 0,-9.3359,,,,,,,,,0,,,0,,0,,,-26.9999,,-3.1576,,,-9.3359,,,,QC'd by MedChem Express
2687,363678254,23649154,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378881-01/222283262,,Inactive,,,0,,-4.4,4.9549,0.6299,-5.6637,9.5,4,0 0 0 0 0,-3.4698,,,,,,,,,14.6162,,,2.4916,,,,,9.39,,11.6266,,,-3.4698,,,,QC'd by MedChem Express
2688,363678255,446804,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378882-01/222280438,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,-1.1737,,,0,,0,,,-1.467,,0,,,0,,,,QC'd by MedChem Express
2689,363678256,66577033,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378883-01/222284202,,Inactive,,,0,,-4.4,4.9549,0.7027,29.9726,-5.9988,4,0 0 0 0 0,24.8765,,,,,,,,,-2.0044,,,0,,,,,0,,-21.0686,,,24.8765,,,,QC'd by MedChem Express
2690,363678257,127894,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378884-01/222280481,,Inactive,,,0,,-7.25,1.0693,0.5347,17,-5.8929,4,0 0 0 0 0 0,27.5447,,,,,,,,,-1.5774,,,9.2657,,13.8833,,,16.7689,,6.1309,,,27.5447,,,,QC'd by MedChem Express
2691,363678258,4020,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378886-01/222280571,,Inactive,,,0,,-6.15,4.9549,0.3187,15,-0.5,4,1 0 0 0 0 1,0,,,,,,,,,20.5889,,,0,,0.9028,,,29.8406,,0,,,0,,,,QC'd by MedChem Express
2692,363678259,135528987,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378890-01/222281125,,Inactive,,,0,,-4.7,1.1762,0.8957,-20.5096,-2.684,4,0 0 0 0 0 0,-16.258,,,,,,,,,-3.4528,,,-0.57,,-6.1225,,,-3.0793,,-8.9463,,,-16.258,,,,QC'd by MedChem Express
2693,363678260,16727102,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378893-04/222280411,,Activator,1,32.658,0,Complete curve; partial efficacy; poor fit,-6,4.9549,0.7743,32.4926,-0.1654,1.4,0 0 0 0 0 0,46.6543,,,,,,,,,0,,,0,,0,,,32.8751,,16.7307,,,46.6543,,,,QC'd by Tocris
2694,363678261,9799888,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378894-01/222280959,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,-2.9224,,,-38.9606,,-0.3743,,,-20.2717,,-0.3153,,,0,,,,QC'd by MedChem Express
2695,363678262,11848225,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378895-01/222280554,,Inactive,,,0,,-6.1,4.9549,0.3758,-5.8796,0,4,0 0 0 0 0 1,0,,,,,,,,,0,,,0,,0,,,-11.983,,0,,,0,,,,QC'd by MedChem Express
2696,363678263,11949652,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378896-02/222280368,,Inactive,,,0,,-5.35,1.4232,0.6567,-18.4236,-3.9678,4,0 0 0 0 0 0,-17.4364,,,,,,,,,-11.0189,,,-1.6398,,-7.0985,,,-6.889,,-16.7137,,,-17.4364,,,,QC'd by MedChem Express
2697,363678265,2360837,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378899-03/222279630,,Inactive,,,0,,-4.45,4.9549,0.7134,-4.1309,8.5,4,0 0 0 0 0 0,-3.0258,,,,,,,,,6.5987,,,8.043,,4.6774,,,13.4926,,8.8491,,,-3.0258,,,,QC'd by Cayman
2698,363678266,11711282,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378900-01/222280741,,Inactive,,,0,,-5.75,4.9549,0.342,0,14.5,4,1 0 0 0 0 0,0,,,,,,,,,35.6625,,,0,,28.9865,,,3.9295,,0,,,0,,,,QC'd by MedChem Express
2699,363678267,5329106,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378902-05/222283143,,Activator,17.7828,42.3531,0,Partial curve; partial efficacy,-4.75,2.2481,0.9986,30.9366,-11.4166,2.2,0 0 0 0 0,28.1673,,,,,,,,,-12.4564,,,-10.6814,,,,,-10.8499,,0.0744,,,28.1673,,,,QC'd by Glixx
2700,363678268,11950170,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378903-01/222284497,,Inactive,,,0,,-7,2.8473,0.795,7,-1.5798,4,0 0 0 0 0,4.3392,,,,,,,,,-1.3165,,,2.1034,,,,,9.9753,,7.2916,,,4.3392,,,,QC'd by MedChem Express
2701,363678270,10280735,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378907-03/222281480,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,0,,,0,,12.4873,,,0,,0,,,0,,,,QC'd by Glixx
2702,363678271,9882972,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378909-01/222281695,,Inactive,,,0,,-6.25,1.9673,0.5284,5.5,-11.0538,4,0 0 0 0 0 0,9.5203,,,,,,,,,-0.1082,,,-22.1281,,-3.1104,,,3.6814,,2.3862,,,9.5203,,,,QC'd by MedChem Express
2703,363678275,49855228,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378918-01/222284289,,Activator,28.1838,585.7593,0,Partial curve; high efficacy,-4.55,2.4729,0.9999,595.7617,10.0024,2.1,0 0 0 0 0,509.198,,,,,,,,,10.8132,,,9.0759,,,,,14.016,,64.9534,,,509.198,,,,QC'd by MedChem Express
2704,363678276,24808138,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378919-01/222281208,,Activator,4.4668,23,0,Complete curve; partial efficacy; poor fit,-5.35,4.9549,0.99,23,0,1.4,0 0 0 0 0 0,21.3971,,,,,,,,,0,,,1.1049,,0,,,0,,24.34,,,21.3971,,,,QC'd by MedChem Express
2705,363678278,44603533,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378921-02/222284449,,Activator,7.9433,31.3227,0,Complete curve; partial efficacy; poor fit,-5.1,4.5045,0.9267,46.8227,15.5,1.4,0 0 0 0 0,46.6903,,,,,,,,,22.8532,,,11.4379,,,,,13.1012,,41.4325,,,46.6903,,,,QC'd by MedChem Express
2706,363678281,135742498,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378926-01/222284285,,Inactive,,,0,,,,,0,0,4,,22.5556,,,,,,,,,9.3528,,,2.9669,,,,,29.8393,,4.5618,,,22.5556,,,,QC'd by MedChem Express
2707,363678282,16734800,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378927-02/222281660,,Inactive,,,0,,-6.35,2.7202,0.8614,23,3.5,4,0 0 0 0 0 1,2.4677,,,,,,,,,7.7776,,,0,,13.4251,,,26.6742,,19.601,,,2.4677,,,,QC'd by Axon Medchem
2708,363678283,2856,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378928-02/222281336,,Inactive,,,0,,-5,4.4495,0.9999,27.5,0,4,0 1 0 0 0 0,27.7243,,,,,,,,,0,,,40.8226,,0,,,0,,17.6457,,,27.7243,,,,QC'd by Glixx
2709,363678284,71576689,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378929-01/222280577,,Inactive,,,0,,-6.1,4.9549,0.49,-12.7466,0,4,0 0 0 0 0 0,-21.4555,,,,,,,,,0,,,0,,0,,,-17.3056,,0,,,-21.4555,,,,QC'd by MedChem Express
2710,363678287,5205,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378937-02/222280771,,Activator,22.3872,99.2189,0,Partial curve; high efficacy; poor fit,-4.65,1.2938,0.8562,108.2021,8.9832,2.3,0 0 0 0 0 0,90.1684,,,,,,,,,17.1413,,,0,,25.7225,,,27.3392,,30.1723,,,90.1684,,,,QC'd by MedChem Express
2711,363678289,10029385,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378942-02/222283869,,Inactive,,,0,,-4.8,2.2526,0.7306,-30.5291,-11.8608,4,0 0 0 0 0,-29.6076,,,,,,,,,-6.5506,,,-19.1902,,,,,-9.358,,-17.8713,,,-29.6076,,,,QC'd by Selleck
2712,363678291,16058637,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378943-01/222284048,,Inactive,,,0,,-5.1,4.9549,0.485,-3,18.5,4,0 0 0 0 1,24.5093,,,,,,,,,4.9781,,,24.5009,,,,,25.2994,,0,,,24.5093,,,,QC'd by MedChem Express
2713,363678292,11256587,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378947-02/222280516,,Activator,11.2202,193.6436,0,Partial curve; high efficacy,-4.95,3.2975,0.9992,196.4664,2.8228,2.1,0 0 0 0 0 0,188.1862,,,,,,,,3.8281,,,0,,0,,,5.41,,22.3003,,,188.1862,,,,,QC'd by Adooq
2714,363678293,25138012,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378959-01/222281564,,Activator,5.0119,20.5,0,Complete curve; partial efficacy; poor fit,-5.3,4.9549,0.9942,20.5,0,1.4,0 0 0 0 0 0,19.2722,,,,,,,,,0,,,0,,0,,,0,,21.4073,,,19.2722,,,,QC'd by MedChem Express
2715,363678294,56650915,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378960-01/222283723,,Inactive,,,0,,-4.4,4.9549,0.8117,24,12.5,4,0 0 0 0 0,22.4212,,,,,,,,,11.0602,,,15.3417,,,,,13.907,,10.0782,,,22.4212,,,,QC'd by MedChem Express
2716,363678295,71604307,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378965-03/222284132,,Activator,39.8107,119.22,0,Single point of activity,-4.4,4.4495,0.949,127.2537,8.0337,3,1 0 0 0 0,107.1159,,,,,,,,,21.2418,,,0,,,,,24.1285,,0,,,107.1159,,,,QC'd by Glixx
2717,363678296,16739244,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378968-01/222280783,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,27.6545,,,17.6559,,0,,,0.5888,,26.985,,,0,,,,QC'd by MedChem Express
2718,363678297,11597537,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378972-01/222281616,,Inactive,,,0,,-6.25,1.6868,0.9985,14,-0.5,4,0 0 0 0 0 1,0,,,,,,,,,0,,,0,,5.3353,,,12.7135,,14.0229,,,0,,,,QC'd by MedChem Express
2719,363678299,135416394,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378975-01/222281579,,Inactive,,,0,,,,,0,0,4,,0,,,,,,,,,-1.1091,,,-0.5916,,-9.4923,,,0,,0,,,0,,,,QC'd by MedChem Express
2720,363678300,59757974,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378978-05/222284501,,Activator,12.5893,93.9213,0,Partial curve; partial efficacy,-4.9,1.07,0.9992,94.0712,0.1499,2.2,0 0 0 0 0,78.5012,,,,,,,,,0,,,0,,,,,14.808,,43.7163,,,78.5012,,,,QC'd by Glixx
2721,363678301,24771824,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378983-01/222280774,,Inactive,,,0,,,,,0,0,4,,20.5832,,,,,,,,,22.2757,,,10.4915,,4.1257,,,4.4876,,20.9883,,,20.5832,,,,QC'd by MedChem Express
2722,363678303,42602909,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378986-01/222284258,,Activator,28.1838,57.5462,0,Single point of activity,-4.55,2.7868,0.9994,78.8795,21.3332,3,0 0 0 0 0,71.9407,,,,,,,,,20.8298,,,22.1927,,,,,20.9999,,25.3824,,,71.9407,,,,QC'd by MedChem Express
2723,363678304,9887537,Inactive,0,http://assay.nih.gov/htsws/rest/display/zika-ns2b-ns3-rhodamine-p1-NPACT/NCGC00378989-01/222281680,,Inactive,,,0,,-7.6,4.9549,0.5854,1.5452,16,4,0 0 0 0 0 1,17.1658,,,,,,,,,13.6508,,,-2.879,,0.7846,,,4.9282,,7.4762,,,17.1658,,,,QC'd by MedChem Express
